"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 08월 10일","22.95","22.95","22.95","22.95","-","4.08%"
"2020년 08월 07일","22.05","22.05","22.05","22.05","-","4.50%"
"2020년 08월 06일","21.10","21.10","21.10","21.10","0.00K","-0.94%"
"2020년 08월 05일","21.30","21.30","21.30","21.30","0.00K","-4.91%"
"2020년 08월 04일","22.40","22.40","22.40","22.40","-","-4.68%"
"2020년 08월 03일","23.50","23.50","23.50","23.50","-","1.95%"
"2020년 07월 31일","23.05","23.05","23.05","23.05","0.00K","3.60%"
"2020년 07월 30일","22.25","22.25","22.25","22.25","0.00K","-1.77%"
"2020년 07월 29일","22.65","22.65","22.65","22.65","0.00K","-0.44%"
"2020년 07월 28일","22.75","22.75","22.75","22.75","0.00K","-0.87%"
"2020년 07월 27일","22.95","22.95","22.95","22.95","-","2.46%"
"2020년 07월 24일","22.40","22.40","22.40","22.40","0.01K","1.13%"
"2020년 07월 23일","22.15","22.15","22.15","22.15","0.00K","2.55%"
"2020년 07월 22일","21.60","21.75","21.75","21.15","0.02K","2.37%"
"2020년 07월 21일","21.10","21.10","21.10","21.10","-","-5.59%"
"2020년 07월 20일","22.35","22.35","22.35","22.35","-","0.00%"
"2020년 07월 17일","22.35","22.35","22.35","22.35","-","-4.89%"
"2020년 07월 16일","23.50","23.50","23.50","23.50","-","-0.63%"
"2020년 07월 15일","23.65","23.65","23.65","23.65","-","0.00%"
"2020년 07월 14일","23.65","23.65","23.65","23.65","-","0.00%"
"2020년 07월 13일","23.65","23.65","23.65","23.65","-","-4.83%"
"2020년 07월 10일","24.85","24.85","24.85","24.85","-","11.94%"
"2020년 07월 09일","22.20","22.05","22.20","22.05","0.01K","-11.38%"
"2020년 07월 08일","25.05","25.05","25.05","25.05","-","0.80%"
"2020년 07월 07일","24.85","24.85","24.85","24.85","-","1.22%"
"2020년 07월 06일","24.55","24.55","24.55","24.55","0.01K","-6.65%"
"2020년 07월 03일","26.30","26.30","26.30","26.30","0.00K","-4.71%"
"2020년 07월 02일","27.60","27.45","27.60","27.45","0.00K","-4.66%"
"2020년 07월 01일","28.95","28.95","28.95","28.95","0.00K","-1.86%"
"2020년 06월 30일","29.50","29.50","29.50","29.50","0.00K","-6.20%"
